代码,名称,现价,正股代码,正股名称,规模,剩余规模,转股起始日,最后交易日,到期日,转股价,强赎触发比,强赎触发价,正股价,强赎价,强赎天计数,强赎条款,强赎状态
123223,九典转02,132.58,300705,九典制药,3.6,2.052,2024-03-21,,2029-09-15,14.55,130,18.915,11.1,,0/15 | 30,如果公司 A 股股票在任何连续 30 个交易日中至少 15 个交易日的收盘价格不低于当期转股价格的 130%（含 130%）；,
123225,翔丰转债,138.454,300890,翔丰华,8.0,5.585,2024-04-16,,2029-10-10,27.34,130,35.542,26.55,,0/15 | 30,如果公司股票在任意连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）,
123229,艾录转债,131.95,301062,上海艾录,5.0,1.779,2024-04-29,,2029-10-23,9.95,130,12.935,7.59,,0/15 | 30,如果公司股票在任何连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的 130%（含130%）,
118052,浩瀚转债,139.376,688292,浩瀚深度,3.54,3.539,2025-09-19,,2031-03-13,24.2,130,31.46,18.67,,0/15 | 30,如果公司股票在任何连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）；,
123265,耐普转02,136.163,300818,耐普矿机,4.5,4.499,2026-07-22,,2032-01-16,29.5,130,38.35,18.4,,0/15 | 30,如果公司股票在连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）,
127025,冀东转债,105.742,000401,金隅冀东,28.2,17.764,2021-05-11,,2026-11-05,12.92,130,16.796,3.54,,0/15 | 30,如果公司股票在任何连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的130%(含130%),
127046,百润转债,127.109,002568,百润股份,11.28,11.274,2022-04-12,,2027-09-29,20.33,130,26.429,17.51,,0/15 | 30,如果公司股票在任何连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的 130%(含 130%),
127045,牧原转债,119.75,002714,牧原股份,95.5,95.429,2022-02-21,,2027-08-16,43.32,130,56.316,42.03,,0/15 | 30,如果公司 A 股股票连续三十个交易日中至少有十五个交易日的收盘价不低于当期转股价格的 130%(含 130%),
127047,帝欧转债,139.8,002798,帝欧水华,15.0,4.654,2022-04-29,,2027-10-25,5.1,130,6.63,6.38,,0/15 | 30,如果公司股票连续 30 个交易日中至少有 15 个交易日的收盘价格不低于当期转股价格的 130%(含 130%),
127049,希望转2,113.9,000876,新希望,81.5,81.434,2022-05-09,,2027-11-02,10.13,130,13.169,7.06,,0/15 | 30,在本次发行的可转换公司债券转股期内，如果公司 A 股股票连续三十个交易日中至少有十五个交易日的收盘价不低于当期转股价 格的 130%(含 130%),
127054,双箭转债,124.896,002381,双箭股份,5.136,5.136,2022-08-17,,2028-02-11,6.96,130,9.048,5.62,,0/15 | 30,"如果公司股票在任何连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的 130%（含
130%）",
127050,麒麟转债,127.641,002984,森麒麟,21.989,20.86,2022-05-17,,2027-11-11,15.07,130,19.591,13.68,,0/15 | 30,如果公司股票连续 30 个交易日中至 少有 15 个交易日的收盘价格不低于当期转股价格的 130%(含 130%),
127044,蒙娜转债,116.87,002918,蒙娜丽莎,11.689,3.368,2022-02-21,,2027-08-16,19.76,130,25.688,11.22,,0/15 | 30,如果公司股票在任何连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的 130%(含 130%),
127040,国泰转债,121.365,002091,江苏国泰,45.574,39.863,2022-01-13,,2027-07-07,7.35,130,9.555,7.72,,0/15 | 30,如果公司股票在连续三十个交易日内至少有十五个交易日的收盘价不低于当期转股价格的 130%(含 130%),
127030,盛虹转债,119.22,000301,东方盛虹,50.0,49.974,2021-09-27,,2027-03-22,13.21,130,17.173,13.81,,0/15 | 30,如果公司股票连续30个交易日中至少有15个交易日的收盘价格不低于当期转股价格的130%(含130%),
